City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
183,Richards Bay,ZA,-28.783,32.0377,70.27,81,100,2.86,overcast clouds
184,Buala,SB,-8.145,159.5921,79.2,82,100,3.44,light rain
185,Fairbanks,US,64.8378,-147.7164,-20.4,76,1,0.0,clear sky
186,Kushima,JP,31.4583,131.2333,47.12,72,4,11.43,clear sky
187,High Level,CA,58.5169,-117.136,-3.89,77,90,6.91,light snow
188,Junction City,US,39.0286,-96.8314,64.71,44,1,4.0,clear sky
189,Urengoy,RU,65.9667,78.3667,-16.02,92,24,11.74,few clouds
190,Maniitsoq,GL,65.4167,-52.9,23.25,65,100,23.53,overcast clouds
191,Panzhihua,CN,26.5851,101.7128,56.19,82,100,0.58,overcast clouds
192,Hasaki,JP,35.7333,140.8333,37.8,56,0,6.24,clear sky
193,Vastseliina,EE,57.7303,27.2932,20.05,93,100,9.71,overcast clouds
194,Katsuura,JP,35.1333,140.3,46.51,61,0,9.84,clear sky
195,Victoria,HK,22.2855,114.1577,64.38,35,72,5.99,broken clouds
196,Atuona,PF,-9.8,-139.0333,78.39,73,11,18.61,few clouds
197,Summerland,CA,49.5998,-119.6691,39.09,69,90,2.3,overcast clouds
198,Esperance,AU,-33.8667,121.9,55.24,81,0,12.06,clear sky
199,Atasu,KZ,48.6814,71.6433,16.9,97,34,3.4,scattered clouds
200,Umm Lajj,SA,25.0213,37.2685,76.5,60,8,7.65,clear sky
201,Qeshm,IR,26.9581,56.2719,75.09,68,0,21.99,clear sky
202,Alyangula,AU,-13.8483,136.4192,76.87,100,100,4.61,overcast clouds
203,Lebu,CL,-37.6167,-73.65,57.34,67,0,18.25,clear sky
204,Midland,US,31.9974,-102.0779,83.05,21,1,11.5,clear sky
205,Friesach,AT,46.9553,14.4058,27.9,91,11,3.04,few clouds
206,Guerrero Negro,MX,27.9769,-114.0611,69.96,57,0,12.71,clear sky
207,Thompson,CA,55.7435,-97.8558,-2.04,78,75,10.36,broken clouds
208,Adeje,ES,28.1227,-16.726,66.56,60,75,3.0,broken clouds
209,Varena,LT,54.2167,24.5667,30.85,91,33,7.78,scattered clouds
210,Labis,MY,2.385,103.021,74.01,86,100,5.84,overcast clouds
211,Alpena,US,45.0617,-83.4327,34.18,69,90,1.99,overcast clouds
212,Novopavlovka,RU,51.2172,109.2091,6.12,97,64,1.07,broken clouds
213,Kupang,ID,-10.1667,123.5833,80.56,83,100,1.77,moderate rain
214,Kijang,KR,35.2442,129.2139,33.53,45,0,17.52,clear sky
215,Ken Caryl,US,39.5773,-105.1169,67.57,34,43,1.99,scattered clouds
216,Anjozorobe,MG,-18.4,47.8667,64.72,94,11,5.5,few clouds
217,Faanui,PF,-16.4833,-151.75,81.32,68,72,19.55,broken clouds
218,Salinas,US,36.6777,-121.6555,56.84,79,90,0.0,overcast clouds
219,Vredendal,ZA,-31.6683,18.5012,78.66,29,98,2.24,overcast clouds
220,Lyskovo,RU,56.0328,45.0422,34.81,95,100,12.46,overcast clouds
221,Chuy,UY,-33.6971,-53.4616,69.19,67,78,12.1,broken clouds
222,Shimoda,JP,34.6667,138.95,45.1,62,0,24.9,clear sky
223,Carnarvon,AU,-24.8667,113.6333,71.67,83,75,14.97,broken clouds
224,Hamilton,US,39.1834,-84.5333,61.23,49,1,4.0,clear sky
225,Sitka,US,57.0531,-135.33,30.09,69,40,9.22,light snow
226,Obigarm,TJ,38.7173,69.7088,46.72,35,100,5.44,overcast clouds
227,Garissa,KE,-0.4536,39.6401,80.89,70,98,12.88,overcast clouds
228,Leningradskiy,RU,69.3833,178.4167,13.5,81,5,9.86,clear sky
229,Penzance,GB,50.1186,-5.5371,52.77,95,100,22.5,overcast clouds
230,Gejiu,CN,23.306,103.1635,37.36,84,18,2.82,few clouds
231,Qui Nhon,VN,13.7667,109.2333,67.14,76,98,13.09,overcast clouds
232,Bonnyville,CA,54.2668,-110.735,20.52,84,11,9.55,few clouds
233,Tinos,GR,37.5375,25.1634,66.34,75,98,17.69,overcast clouds
234,Urucara,BR,-2.5364,-57.76,77.7,92,100,1.14,overcast clouds
235,Tevriz,RU,57.509,72.4042,25.92,87,100,11.1,overcast clouds
236,Vinh,VN,18.6667,105.6667,57.83,74,6,5.7,clear sky
237,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,68,75,16.11,broken clouds
238,Castro,BR,-24.7911,-50.0119,75.83,55,30,9.24,scattered clouds
239,Barcs,HU,45.96,17.4586,33.03,79,6,2.39,clear sky
240,Juneau,US,58.3019,-134.4197,30.85,94,90,6.91,snow
241,Lensk,RU,60.7253,114.9278,29.19,95,100,13.49,snow
242,Takoradi,GH,4.8845,-1.7554,81.0,82,96,8.55,overcast clouds
243,Coahuayana,MX,18.7333,-103.6833,87.28,57,55,5.44,broken clouds
244,Bani,DO,18.2833,-70.3333,86.76,56,32,11.18,scattered clouds
245,Kahului,US,20.8947,-156.47,73.42,94,90,4.61,moderate rain
246,Kidal,ML,18.4411,1.4078,78.48,12,87,3.2,overcast clouds
247,General Roca,AR,-39.0333,-67.5833,69.62,23,90,18.16,light rain
248,Marquette,US,46.5333,-87.6335,32.83,82,100,5.84,light snow
249,Lam Luk Ka,TH,13.9323,100.7494,73.92,67,20,2.3,few clouds
250,Beisfjord,NO,68.3751,17.5988,24.85,85,17,9.84,few clouds
251,Vanavara,RU,60.34,102.2797,28.54,96,100,12.1,snow
252,Zhezkazgan,KZ,47.8043,67.7144,24.26,88,5,2.21,clear sky
253,Dingle,PH,10.9995,122.6711,73.04,90,100,8.39,overcast clouds
254,Rawson,AR,-43.3002,-65.1023,69.35,34,4,21.07,clear sky
255,Girona,ES,41.9831,2.8249,51.12,82,75,1.01,broken clouds
256,Aanekoski,FI,62.6946,25.818,21.27,100,100,9.35,overcast clouds
257,San Quintin,MX,30.4833,-115.95,65.95,67,0,11.7,clear sky
258,Santa Maria,BR,-29.6842,-53.8069,85.3,39,20,11.5,few clouds
259,Bacong,PH,9.2464,123.2956,76.42,88,100,13.4,overcast clouds
260,Beringovskiy,RU,63.05,179.3167,21.07,89,24,8.1,few clouds
261,Panaba,MX,21.2833,-88.2667,80.33,60,98,10.49,overcast clouds
262,Havelock,US,34.8791,-76.9013,76.05,51,1,3.0,clear sky
263,Necochea,AR,-38.5473,-58.7368,58.03,81,100,18.45,overcast clouds
264,Karabulak,RU,43.3036,44.8964,27.59,57,0,3.24,clear sky
265,Cherskiy,RU,68.75,161.3,-8.9,97,100,15.61,overcast clouds
266,Batagay,RU,67.6333,134.6333,-41.22,97,79,4.38,broken clouds
267,Kaitangata,NZ,-46.2817,169.8464,57.65,98,100,2.06,overcast clouds
268,Ha Giang,VN,22.8333,104.9833,57.42,88,33,0.63,scattered clouds
269,Vila Velha,BR,-20.3297,-40.2925,75.15,93,90,11.99,mist
270,Nago,JP,26.5881,127.9761,64.56,59,37,14.09,scattered clouds
271,Naze,JP,28.3667,129.4833,59.47,53,100,13.4,overcast clouds
272,Sabinopolis,BR,-18.6661,-43.0839,75.36,75,59,5.86,broken clouds
273,Rio Grande,BR,-32.035,-52.0986,77.11,61,27,15.77,scattered clouds
274,Portland,US,45.5234,-122.6762,47.1,85,75,1.01,broken clouds
275,Palakkodu,IN,12.3,78.0833,70.02,94,95,3.06,overcast clouds
276,Bengkulu,ID,-3.8004,102.2655,77.04,89,100,4.79,heavy intensity rain
277,Kulhudhuffushi,MV,6.6221,73.07,82.13,74,11,3.33,few clouds
278,Turinsk,RU,58.0458,63.696,24.91,81,98,11.41,overcast clouds
279,Severo-Yeniseyskiy,RU,60.3725,93.0408,26.51,91,100,11.07,overcast clouds
280,Dolzhanskaya,RU,46.6311,37.8039,46.9,82,100,23.73,overcast clouds
281,Koshurnikovo,RU,54.1667,93.3,14.58,95,100,4.99,snow
282,Mayumba,GA,-3.432,10.6554,78.6,86,100,3.53,light rain
283,Itoman,JP,26.1247,127.6694,64.42,52,40,16.11,scattered clouds
284,Sur,OM,22.5667,59.5289,73.67,58,0,6.24,clear sky
285,Linjiang,CN,41.8069,126.9078,14.68,95,100,1.48,light snow
286,Solnechnyy,RU,50.7214,136.6319,-6.05,99,52,1.66,broken clouds
287,Ronne,DK,55.1009,14.7066,37.31,87,75,20.71,broken clouds
288,Iquitos,PE,-3.7481,-73.2472,87.84,66,75,9.22,broken clouds
289,Narsaq,GL,60.9167,-46.05,17.82,63,80,10.54,broken clouds
290,Ngama,TD,11.7833,17.1667,82.76,22,10,7.31,clear sky
291,Ostrovnoy,RU,68.0531,39.5131,22.86,68,100,11.95,light snow
292,Mahebourg,MU,-20.4081,57.7,78.26,88,20,6.91,few clouds
293,Beniganj,IN,27.2833,80.45,64.56,56,8,1.83,clear sky
294,Marsabit,KE,2.3284,37.9899,68.72,70,6,13.24,clear sky
295,Port Hardy,CA,50.6996,-127.4199,39.76,93,75,3.44,broken clouds
296,Kununurra,AU,-15.7667,128.7333,82.38,89,100,6.91,overcast clouds
297,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,68,40,21.85,scattered clouds
298,Bethel,US,41.3712,-73.414,46.0,49,1,3.0,clear sky
299,Kvarkeno,RU,52.0833,59.725,32.61,92,100,18.12,overcast clouds
300,Northam,GB,51.0333,-4.2167,49.01,96,100,7.4,overcast clouds
301,Gilbues,BR,-9.8317,-45.3439,84.74,59,90,3.31,moderate rain
302,Jacareacanga,BR,-6.2222,-57.7528,84.51,74,75,5.75,broken clouds
303,High Rock,BS,26.6208,-78.2833,77.02,59,53,8.97,broken clouds
304,Saint-Augustin,CA,51.226,-58.6502,37.76,100,100,4.29,overcast clouds
305,Turkistan,KZ,43.0,68.0,48.63,58,100,5.82,overcast clouds
306,Mayo,US,38.8876,-76.5119,53.67,48,90,5.99,overcast clouds
307,Paamiut,GL,61.994,-49.6678,18.81,64,100,15.3,overcast clouds
308,Aitape,PG,-3.1374,142.3475,77.99,88,60,3.76,broken clouds
309,Tingi,TZ,-11.3,35.0333,71.76,51,72,6.42,broken clouds
310,Aviles,ES,43.5547,-5.9248,60.76,65,75,11.01,broken clouds
311,Yumen,CN,40.2833,97.2,26.74,37,0,15.61,clear sky
312,Puerto Escondido,MX,15.85,-97.0667,86.83,62,1,6.91,clear sky
313,Sai Buri,TH,6.7013,101.6168,77.97,84,99,5.3,overcast clouds
314,Erzin,TR,36.9559,36.2,47.12,45,100,5.59,overcast clouds
315,Pierre,US,44.3683,-100.351,44.85,61,90,1.01,overcast clouds
316,Sabha,LY,27.0377,14.4283,64.98,17,60,12.37,broken clouds
317,Mareeba,AU,-17.0,145.4333,73.44,90,100,1.88,overcast clouds
318,Pankrushikha,RU,53.8319,80.3406,22.41,88,97,13.96,overcast clouds
319,Mogadishu,SO,2.0371,45.3438,80.28,73,6,15.5,clear sky
320,Fort Nelson,CA,58.8053,-122.7002,-13.41,77,75,0.0,broken clouds
321,Izumo,JP,35.3667,132.7667,42.75,66,83,12.71,broken clouds
322,Hualmay,PE,-11.0964,-77.6139,71.74,73,52,11.77,broken clouds
323,Tabuk,PH,17.4189,121.4443,66.51,93,100,5.28,overcast clouds
324,Zhuhai,CN,22.2769,113.5678,64.11,42,0,17.27,clear sky
325,Rabo De Peixe,PT,37.8,-25.5833,62.28,98,75,6.91,broken clouds
326,Nchelenge,ZM,-9.3451,28.734,76.21,62,12,3.36,few clouds
327,Dakar,SN,14.6937,-17.4441,76.08,83,82,9.22,broken clouds
328,Butembo,CD,0.15,29.2833,57.94,95,100,3.47,overcast clouds
329,Nyurba,RU,63.2842,118.3319,-1.03,96,100,8.5,light snow
330,Deputatskiy,RU,69.3,139.9,-30.35,91,100,5.95,overcast clouds
331,Banda Aceh,ID,5.5577,95.3222,76.59,86,100,12.68,overcast clouds
332,Satipo,PE,-11.2522,-74.6386,84.63,61,91,2.89,overcast clouds
333,Rocha,UY,-34.4833,-54.3333,70.7,62,93,10.49,overcast clouds
334,Harnosand,SE,62.6323,17.9379,21.99,91,100,13.82,light snow
335,Xinzhi,CN,36.4989,111.7047,38.39,30,6,2.8,clear sky
336,Tiarei,PF,-17.5333,-149.3333,84.22,74,7,17.29,clear sky
337,Henties Bay,NA,-22.116,14.2845,62.85,87,0,5.97,clear sky
338,College,US,64.8569,-147.8028,-20.42,76,20,0.0,few clouds
339,Smidovich,RU,48.6,133.8167,-19.1,99,62,3.27,broken clouds
340,Itarema,BR,-2.9248,-39.9167,83.07,71,44,15.77,scattered clouds
341,Vao,NC,-22.6667,167.4833,76.39,77,98,14.18,overcast clouds
342,Russell,US,32.3502,-85.1999,74.91,55,100,5.06,overcast clouds
343,Mount Gambier,AU,-37.8333,140.7667,51.71,82,90,4.61,overcast clouds
344,Bretzfeld,DE,49.1794,9.4383,37.54,86,100,7.92,overcast clouds
345,Esmeraldas,BR,-19.7625,-44.3139,70.84,75,29,3.8,scattered clouds
346,Dubrovnik,HR,42.6481,18.0922,47.84,71,75,25.32,broken clouds
347,Ancud,CL,-41.8697,-73.8203,63.93,63,1,6.67,clear sky
348,Kieta,PG,-6.2167,155.6333,79.12,81,6,3.44,clear sky
